id,title,type,genres,averageRating,numVotes,releaseYear
tt7908628,"What We Do in the Shadows",tvSeries,"Comedy, Fantasy, Horror",8.6,108037,2019
tt4288182,Atlanta,tvSeries,"Comedy, Drama, Music",8.6,90782,2016
tt9174558,Dopesick,tvMiniSeries,Drama,8.6,81920,2021
tt10638036,Heartstopper,tvSeries,"Drama, Romance",8.6,81704,2022
tt1733785,"The Bridge",tvSeries,"Crime, Mystery, Thriller",8.6,78301,2011
tt0056058,Harakiri,movie,"Action, Drama, Mystery",8.6,72303,1962
tt5421602,"Anne with an E",tvSeries,"Drama, Family",8.6,69483,2017
tt4299972,"The Jinx: The Life and Deaths of Robert Durst",tvSeries,"Biography, Crime, Documentary",8.6,54282,2015
tt0094525,Poirot,tvSeries,"Crime, Drama, Mystery",8.6,53478,1989
tt0088484,"Blackadder II",tvSeries,Comedy,8.6,50633,1986
tt5897304,"Mob Psycho 100",tvSeries,"Action, Animation, Comedy",8.6,49251,2016
tt0237123,Coupling,tvSeries,"Comedy, Romance",8.6,48202,2000
tt0092324,"Blackadder the Third",tvSeries,Comedy,8.6,47733,1987
tt2100976,"Impractical Jokers",tvSeries,"Comedy, Reality-TV",8.6,47003,2011
tt1641384,"Young Justice",tvSeries,"Action, Adventure, Animation",8.6,46638,2010
tt2049116,Gomorrah,tvSeries,"Crime, Drama, Thriller",8.6,45496,2014
tt13111040,"The Offer",tvMiniSeries,"Biography, Crime, Drama",8.6,42359,2022
tt5288312,Skam,tvSeries,"Drama, Romance",8.6,39519,2015
tt11854694,"Special OPS",tvSeries,"Action, Crime, Thriller",8.6,38088,2020
tt9140342,"It's a Sin",tvMiniSeries,"Comedy, Drama, History",8.6,37821,2021
tt12451520,"It's Okay to Not Be Okay",tvSeries,"Comedy, Drama, Romance",8.6,37240,2020
tt0053488,"The Bugs Bunny Show",tvSeries,"Animation, Comedy",8.6,36141,1960
tt0417349,"North & South",tvMiniSeries,"Drama, Romance",8.6,35577,2004
tt2701582,Endeavour,tvSeries,"Crime, Drama, Mystery",8.6,34449,2012
tt0380136,QI,tvSeries,"Comedy, Game-Show",8.6,33989,2003
tt7562112,Pose,tvSeries,Drama,8.6,33652,2018
tt1983079,"Call the Midwife",tvSeries,"Drama, History",8.6,32394,2012
tt4647692,Letterkenny,tvSeries,Comedy,8.6,30752,2016
tt5994364,"Guardian: The Lonely and Great God",tvSeries,"Comedy, Drama, Fantasy",8.6,30097,2016
tt20869502,"Extraordinary Attorney Woo",tvSeries,Drama,8.6,29246,2022
tt0417373,"The Venture Bros.",tvSeries,"Action, Adventure, Animation",8.6,28539,2003
tt4156586,"Permanent Roommates",tvSeries,"Comedy, Romance",8.6,26498,2014
tt0094517,"Mystery Science Theater 3000",tvSeries,"Comedy, Sci-Fi",8.6,26130,1988
tt0367495,"Anbe Sivam",movie,"Adventure, Comedy, Drama",8.6,26003,2003
tt2433738,Wentworth,tvSeries,"Crime, Drama, Thriller",8.6,25262,2013
tt21056886,"Scavengers Reign",tvSeries,"Adventure, Animation, Drama",8.6,23266,2023
tt2244495,"The Eric Andre Show",tvSeries,"Comedy, Talk-Show",8.6,22295,2012
tt0129690,"I'm Alan Partridge",tvSeries,Comedy,8.6,22282,1997
tt4082744,Detectorists,tvSeries,Comedy,8.6,22240,2014
tt0421291,"Avrupa Yakasi",tvSeries,Comedy,8.6,21814,2004
tt2311418,"Isler Güçler",tvSeries,Comedy,8.6,21477,2012
tt8050756,"The Owl House",tvSeries,"Action, Adventure, Animation",8.6,20899,2020
tt0358456,Earthlings,movie,Documentary,8.6,19962,2005
tt0252489,"The Chaos Class Is on Vacation",movie,Comedy,8.6,19106,1977
tt7278862,"My Brilliant Friend",tvSeries,Drama,8.6,18815,2018
tt0310455,"Foyle's War",tvSeries,"Crime, Drama, Mystery",8.6,18796,2002
tt1513168,"Through the Wormhole",tvSeries,Documentary,8.6,18543,2010
